year,location_name,cause_name,number_of_deaths,percent_of_deaths
2000,Global,Cardiovascular diseases,14363179.36,0.285620302
2000,Global,Diabetes mellitus,897302.6945,0.017843306
2000,Global,Non-communicable diseases,31278953.14,0.621998411
2000,Global,Stroke,5864909.458,0.116624709
2000,Malaysia,Cardiovascular diseases,36357.20813,0.348552198
2000,Malaysia,Diabetes mellitus,3081.049686,0.029537665
2000,Malaysia,Non-communicable diseases,76076.23977,0.729336333
2000,Malaysia,Stroke,13004.51734,0.124672047
2001,Global,Cardiovascular diseases,14603996.87,0.288347903
2001,Global,Diabetes mellitus,924257.094,0.018248933
2001,Global,Non-communicable diseases,31790347,0.627686698
2001,Global,Stroke,5975502.92,0.117980497
2001,Malaysia,Cardiovascular diseases,36490.7379,0.350542228
2001,Malaysia,Diabetes mellitus,3133.363358,0.030100213
2001,Malaysia,Non-communicable diseases,76456.5793,0.734468397
2001,Malaysia,Stroke,12969.6561,0.124590451
2002,Global,Cardiovascular diseases,14912508.79,0.291707329
2002,Global,Diabetes mellitus,958318.0082,0.018745915
2002,Global,Non-communicable diseases,32371593.52,0.633225147
2002,Global,Stroke,6091406.992,0.119152512
2002,Malaysia,Cardiovascular diseases,36991.64497,0.350439793
2002,Malaysia,Diabetes mellitus,3199.093545,0.030306281
2002,Malaysia,Non-communicable diseases,77721.66395,0.736291593
2002,Malaysia,Stroke,13202.57842,0.125074319
2003,Global,Cardiovascular diseases,15243641.57,0.294999041
2003,Global,Diabetes mellitus,994101.7301,0.01923828
2003,Global,Non-communicable diseases,33048915.78,0.639573932
2003,Global,Stroke,6217556.99,0.120321105
2003,Malaysia,Cardiovascular diseases,38830.88526,0.350727667
2003,Malaysia,Diabetes mellitus,3344.779513,0.030210441
2003,Malaysia,Non-communicable diseases,81697.68454,0.737904266
2003,Malaysia,Stroke,13837.01684,0.124979688
2004,Global,Cardiovascular diseases,15350235.03,0.294666537
2004,Global,Diabetes mellitus,1016465.228,0.019512318
2004,Global,Non-communicable diseases,33419548.98,0.64153449
2004,Global,Stroke,6253104.263,0.12003335
2004,Malaysia,Cardiovascular diseases,39143.20889,0.349185813
2004,Malaysia,Diabetes mellitus,3332.058208,0.029724587
2004,Malaysia,Non-communicable diseases,82679.79561,0.737563733
2004,Malaysia,Stroke,13977.28004,0.124687863
2005,Global,Cardiovascular diseases,15545805.83,0.298057226
